,クレストゲート開度(m),,,,,,,,,,,,,,
,0.12 ,0.56 ,1.00 ,2.00 ,3.00 ,4.00 ,4.25 ,5.00 ,6.00 ,7.00 ,8.00 ,8.69 ,9.00 ,10.00 ,11.00 
157.90 ,,,,,,,,,,,,,,,0
160.00 ,13.61,59.88,99.74,,,,,,,,,,,,138.34
160.50 ,15.19,67.64,114.46,,,,,,,,,,,,191.49
161.00 ,16.62,74.59,127.47,223.72,,,,,,,,,,,250.71
161.50 ,17.93,80.94,139.25,251.5,,,,,,,,,,,315.76
162.00 ,19.16,86.82,150.1,275.15,366.1,,,,,,,,,,386.53
162.50 ,20.31,92.34,160.22,296.86,401.28,,,,,,,,,,462.91
163.00 ,21.4,97.54,169.73,317.04,437.85,524.87,,,,,,,,,544.88
163.50 ,22.43,102.47,178.73,335.99,468.1,564.2,586.34,,,,,,,,632.4
164.00 ,23.42,107.18,187.3,353.91,496.42,605.22,627.81,695.59,,,,,,,725.41
164.50 ,24.37,111.69,195.5,370.96,523.15,648.17,671.92,743.14,,,,,,,823.86
165.00 ,25.29,116.03,203.36,387.25,548.55,686.35,715.64,791.72,893.16,,,,,,927.65
165.50 ,26.17,120.21,210.93,402.87,572.79,720.05,753.52,840.13,949.91,,,,,,1036.64
166.00 ,27.02,124.25,218.23,417.91,596.03,752.17,788.02,886.49,1006.55,1126.61,,,,,1150.63
166.20 ,27.36,125.83,221.09,423.77,605.07,764.62,801.38,904.24,1029.06,1153.88,,,,,1197.56
166.50 ,27.85,128.16,225.3,432.42,618.38,782.92,821,929.18,1062.24,1195,,,,,1269.35
167.00 ,28.65,131.95,232.16,446.46,639.93,812.47,852.66,967.57,1116.09,1265.48,,,,,1392.46
167.50 ,29.44,135.64,238.81,460.06,660.78,840.96,883.15,1004.42,1163.4,1329.04,1494.68,,,,1519.53
167.90 ,30.05,138.52,244.01,470.67,676.99,863.06,906.79,1032.91,1197.34,1378.75,1560.17,,,,1623.67
168.00 ,30.2,139.24,245.29,473.28,680.98,868.49,912.6,1039.9,1205.06,1390.46,1575.85,,,,1650
168.50 ,30.94,142.74,251.6,486.13,700.59,895.16,941.1,1074.17,1246.71,1446.11,1652.94,,,,1783.25
169.00 ,31.67,146.15,257.75,498.65,719.66,921.04,968.74,1107.34,1288.14,1495.12,1725.21,1883.97,,,1918.48
169.40 ,32.23,148.83,262.57,508.45,734.56,941.22,990.29,1133.16,1320.29,1528.73,1779.37,1952.31,,,2027.5
169.50 ,32.38,149.49,263.77,510.87,738.24,946.2,995.61,1139.52,1328.2,1536.19,1791.66,1967.94,2047.13,,2054.8
170.00 ,33.07,152.76,269.64,522.79,756.36,970.7,1021.75,1170.79,1367.05,1575.76,1851.94,2046.98,2134.6,,2191.14
170.20 ,33.34,154.05,271.96,527.49,763.48,980.33,1032.02,1183.07,1382.27,1594.5,1874.24,2077.5,2168.82,,2245.41
170.50 ,33.75,155.96,275.39,534.45,774.05,994.59,1047.23,1201.23,1404.78,1622.2,1904.76,2120.2,2217,,2326.28
171.00 ,34.42,159.09,281.03,545.86,791.34,1017.91,1072.1,1230.9,1441.48,1667.28,1950.21,2187.34,2293.88,,2458.84
171.50 ,35.07,162.16,286.55,557.04,808.26,1040.71,1096.4,1259.86,1477.25,1711.11,1986.68,2227.61,2335.85,,2587.26
172.00 ,35.71,165.18,291.97,568,824.83,1063.01,1120.17,1288.16,1512.15,1753.8,2039.29,2263.34,2362.9,2684.06,2709.75
172.50 ,36.34,168.14,297.29,578.74,841.08,1084.84,1143.43,1315.84,1546.24,1795.44,2090.5,2327.46,2415.99,2701.56,2824.36
173.00 ,36.96,171.05,302.52,589.3,857.01,1106.25,1166.23,1342.94,1579.58,1836.1,2140.43,2396.8,2504.65,2741.65,2928.88
